Patient: FirstName LastName
Age: 25
Sex: M
Weight_kg: 67
Device: EMG-Sim-01
Units: microvolts, milliseconds
Muscle: Biceps brachii
Notes: 1 kHz sampling. Contraction burst at 350-650 ms, smaller burst at 820-900 ms.

30, 0
-8, 1
1, 2
7, 3
-14, 4
0, 5
0, 6
-31, 7
19, 8
11, 9
-11, 10
-3, 11
9, 12
-4, 13
-4, 14
-26, 15
10, 16
3, 17
6, 18
-27, 19
30, 20
3, 21
-6, 22
37, 23
0, 24
-25, 25
-6, 26
-40, 27
20, 28
-7, 29
-12, 30
20, 31
-29, 32
11, 33
-36, 34
-11, 35
-21, 36
27, 37
33, 38
-5, 39
16, 40
-2, 41
12, 42
-12, 43
-29, 44
-31, 45
8, 46
42, 47
6, 48
-8, 49
36, 50
6, 51
3, 52
6, 53
-1, 54
-4, 55
-24, 56
11, 57
0, 58
23, 59
-5, 60
-32, 61
0, 62
33, 63
-5, 64
-14, 65
-19, 66
-17, 67
-3, 68
-19, 69
29, 70
-3, 71
4, 72
28, 73
29, 74
-1, 75
8, 76
16, 77
-1, 78
-30, 79
14, 80
19, 81
10, 82
-14, 83
-1, 84
-8, 85
-3, 86
26, 87
30, 88
15, 89
13, 90
15, 91
3, 92
2, 93
-9, 94
2, 95
44, 96
19, 97
-3, 98
-5, 99
-12, 100
10, 101
10, 102
-23, 103
12, 104
-7, 105
29, 106
6, 107
34, 108
-5, 109
-2, 110
9, 111
22, 112
14, 113
-19, 114
7, 115
4, 116
-4, 117
-8, 118
35, 119
-3, 120
-12, 121
15, 122
6, 123
2, 124
18, 125
13, 126
10, 127
21, 128
9, 129
-7, 130
-3, 131
-5, 132
8, 133
-15, 134
-29, 135
6, 136
-20, 137
-31, 138
11, 139
-9, 140
13, 141
-5, 142
-16, 143
-18, 144
-5, 145
0, 146
-10, 147
-1, 148
-23, 149
5, 150
-28, 151
1, 152
17, 153
24, 154
36, 155
-23, 156
18, 157
26, 158
22, 159
-12, 160
12, 161
38, 162
-22, 163
14, 164
25, 165
-8, 166
16, 167
-14, 168
-10, 169
-10, 170
9, 171
4, 172
22, 173
-12, 174
3, 175
23, 176
15, 177
-19, 178
17, 179
-3, 180
12, 181
11, 182
27, 183
8, 184
-28, 185
-19, 186
19, 187
1, 188
26, 189
11, 190
-8, 191
25, 192
-9, 193
-31, 194
43, 195
-29, 196
17, 197
23, 198
8, 199
-24, 200
24, 201
-20, 202
-18, 203
-1, 204
20, 205
11, 206
21, 207
-2, 208
3, 209
-14, 210
0, 211
17, 212
1, 213
15, 214
-4, 215
-4, 216
7, 217
3, 218
17, 219
10, 220
38, 221
2, 222
2, 223
-12, 224
7, 225
19, 226
-7, 227
6, 228
20, 229
4, 230
-3, 231
24, 232
8, 233
14, 234
28, 235
27, 236
1, 237
-3, 238
12, 239
4, 240
-27, 241
30, 242
7, 243
20, 244
-14, 245
30, 246
-4, 247
5, 248
-18, 249
4, 250
3, 251
4, 252
15, 253
8, 254
25, 255
-1, 256
-11, 257
7, 258
19, 259
30, 260
22, 261
